"","alpha0tau","alpha1tau","beta1tau","rhotau"
"1",0.520869038106311,0.722612698357318,0.830188939182883,0.864584251753559
"2",0.642358201421565,0.699310725941614,0.641996105917851,0.878013891892662
"3",0.15149528203793,0.943001984526111,0.103843422649914,0.594708699250527
"4",0.95464122502815,0.90311608895478,0.707058419416036,0.989662080937278
"5",0.845253612186237,0.64490537047388,0.96075710502155,0.533440809604282
"6",0.773491144805328,0.897278121457998,0.731016206781634,0.956136135675847
"7",0.632994416055743,0.640174749267372,0.920849536383441,0.763734699527546
"8",0.948296600150143,0.992735595714962,0.908612913295681,0.968088958832442
"9",0.656473273942299,0.8016338138496,0.171483091675045,0.963181256057787
"10",0.710714764028887,0.667553820931939,0.933764099283853,0.527709805522696
"11",0.485963161461548,0.0805312238241137,0.0140166740340491,0.0600941052620671
"12",0.366378481765525,0.882944184491885,0.603428624178825,0.69155165317078
"13",0.90675563217028,0.891418590642956,0.838000495572172,0.886031731512092
"14",0.815936717372297,0.741414616036621,0.825787509500269,0.869798400949636
"15",0.4362987766491,0.591570713292872,0.81251309403347,0.444544893503146
"16",0.66779639283445,0.837202070535711,0.859202359320052,0.430650025968857
"17",0.996699695299023,0.839655849191964,0.976596432321023,0.94301053166895
"18",0.678826010020389,0.94369647438034,0.583237758236775,0.998031103450748
"19",0.993215989484187,0.967159903406441,0.995070954069974,0.988579035154784
"20",0.56852844122205,0.777257143930199,0.2641226682361,0.729500475740904
"21",0.537394315699425,0.934817590744515,0.480109178733408,0.9790441213808
"22",0.859957330181481,0.946058078746762,0.995332779015189,0.807077793043666
"23",0.239465429270178,0.283557336660714,0.305257653751203,0.462720636806372
"24",0.630365840579246,0.825722899508281,0.367914051614998,0.889837391983234
"25",0.850030681881138,0.600653000110171,0.664704744316812,0.834893763713686
"26",0.972286932559538,0.858320458604334,0.900698724716283,0.88576145502027
"27",0.736353681745535,0.958020406313571,0.816699128122501,0.901022942462822
"28",0.543689754217062,0.592552367354155,0.719087494203469,0.546566831796531
"29",0.696926982441876,0.759179631448006,0.446329755691461,0.40563901050779
"30",0.906865346834183,0.888352924686572,0.911873445337255,0.938843279930462
"31",0.556886241099899,0.636332048920195,0.601077737157825,0.68443959181183
"32",0.474905942325078,0.637101328453922,0.484945870272725,0.932389256364093
"33",0.310024990709155,0.986396801740598,0.399269271790712,0.511184924847652
"34",0.956304950700392,0.853845732637068,0.404787408313976,0.624141532308977
"35",0.765905005242379,0.892707668642339,0.834655359641845,0.795247632821934
"36",0.622964091216642,0.882534955550682,0.26541924572405,0.374627078987502
"37",0.845571547217832,0.818344978137964,0.900260314419877,0.909743914332736
"38",0.375478656299252,0.719304590269629,0.315164729837478,0.9013803735834
"39",0.611811501107247,0.680674728213877,0.789900922483439,0.543649827911551
"40",0.799840549459746,0.982048324146467,0.674392038327599,0.967266168895063
"41",0.668322510337224,0.499542238857033,0.431646999844537,0.559756039838779
"42",0.886815817793912,0.837783741233327,0.835492636204033,0.995909509441062
"43",0.837678504011481,0.546106932444023,0.431420308496364,0.335914297484118
"44",0.609116763082939,0.33370269555436,0.673832590865873,0.414105196193402
"45",0.495753357459236,0.771701117253543,0.619137571613082,0.754503596251247
"46",0.93946452018857,0.580404662823195,0.561826736620705,0.354755972757559
"47",0.903088483897519,0.782158478147249,0.946375661501962,0.624952482700117
"48",0.817108766323828,0.8727263340626,0.806822424691601,0.955563810454473
"49",0.894982156875521,0.447587716187194,0.449364015759272,0.758849854122036
"50",0.642223047460499,0.36505331044029,0.492953566802854,0.959329131357637
"51",0.481807047375849,0.723763845256315,0.782204728201883,0.78220759752875
"52",0.178002523879075,0.754912413053748,0.782665402738517,0.219135926050013
"53",0.694709056362763,0.782073899695766,0.490917379158697,0.98679095249637
"54",0.512154563309015,0.37457714528246,0.491086782727738,0.719349047616968
"55",0.912207706127062,0.820188421519859,0.147638015975302,0.935154030970306
"56",0.488098495545565,0.515694167643138,0.549102490654408,0.443994148758449
"57",0.945153567191765,0.959804214452949,0.917813853358625,0.989134911787724
"58",0.784910748850277,0.750304408922735,0.682441715547492,0.729252282110074
"59",0.632433926829443,0.497650233824162,0.836086519818783,0.655046119216827
"60",0.440715118389432,0.364869570392215,0.608808188182186,0.313145985036895
"61",0.997915929845318,0.678058925666238,0.850336489708019,0.805942354377813
"62",0.786580368721023,0.840912046615286,0.981450558001982,0.572105626016133
"63",0.816480533960532,0.741021835708607,0.485550483973291,0.762797435241225
"64",0.9377244749283,0.543453641429487,0.673417269602391,0.827983516007016
"65",1,1,1,1
"66",0.479883765098126,0.408188979494187,0.66712386400671,0.589092694417989
"67",0.8730280695037,0.417433083106926,0.772956691819523,0.579850533690155
"68",0.677281665941879,0.889584470573422,0.532103191096445,0.807986034640907
"69",0.911148382198308,0.892034940217983,0.808548249079243,0.901483304208092
"70",0.228222564563103,0.729481146256252,0.15261455950553,0.434647114393005
"71",0.364754622230874,0.727168705769693,0.921822168723987,0.654579097191246
