"","alpha0tau","alpha1tau","beta1tau","rhotau"
"1",0.843789915632289,0.677354066269531,0.962629909593428,0.807613972140474
"2",0.211718389322474,0.163394957084391,0.4307750960705,0.123908585432854
"3",0.50319850186904,0.913421240848121,0.296689443565688,0.794375966640801
"4",0.84391592731777,0.984774590668845,0.978324945145594,0.84651341050046
"5",0.993546369864122,0.856072034529786,0.98884662555264,0.925634113590604
"6",0.703193164356038,0.95207322580501,0.580317480313754,0.942023313867237
"7",0.595148817881485,0.321732269454534,0.918716668555274,0.407694452219344
"8",0.9645466623943,0.246312050309607,0.978964608201824,0.937185780870056
"9",0.563744122593412,0.656423933222282,0.231844506502092,0.767423866871192
"10",0.749413765038203,0.803334099222651,0.369111294783203,0.34560592184595
"11",0.734920588554679,0.624806028272193,0.157660880293385,0.547627041391905
"12",0.679515664080565,0.899123417947821,0.405740097057284,0.869154385934763
"13",0.994890286051076,0.968002813582937,0.702778642674991,0.976077288370232
"14",0.974594862022312,0.964194774504652,0.960256822815843,0.89297173173515
"15",0.630778772213434,0.958814017631587,0.702246417545775,0.913680969724741
"16",0.700145972897743,0.793951426766014,0.925610050340611,0.790127092153133
"17",0.887338217741425,0.696164049370536,0.980293684016164,0.702659499258356
"18",0.869466197962566,0.615039941891559,0.637262937646738,0.625108998197142
"19",0.816573088108485,0.982601807031794,0.960188239845752,0.959287670579559
"20",0.764062059818324,0.66773183732525,0.230950167601757,0.496688199988545
"21",0.999400592874248,0.996781137111366,0.408233617228921,0.996627707545312
"22",0.951640815980799,0.691871933391253,0.935250365123269,0.798355458329985
"23",0.332231973169328,0.577902169289571,0.182080842327314,0.980125233354429
"24",0.795201824941515,0.579884782832879,0.560847859199422,0.940374774069711
"25",0.465596026251031,0.955653496117395,0.713738391248935,0.883392991347075
"26",0.575163606713682,0.441674315849485,0.963801250722912,0.447860942092575
"27",0.957730075558178,0.990562991801941,0.989132893737143,0.908291973018856
"28",0.616926446971451,0.927857200812575,0.680458305807564,0.862894016124632
"29",0.981917167363463,0.981142612133222,0.971112216256031,0.965260346006636
"30",0.891250384303122,0.831535830380106,0.853241779602557,0.91877683868422
"31",0.36538074453539,0.335913977308263,0.645628113437814,0.337253233640903
"32",0.972765552361158,0.781867067257696,0.931581943416588,0.948669041593759
"33",0.819167070746157,0.625327879086394,0.958381209069609,0.695452637479655
"34",0.25323322209889,0.530089548798184,0.971607882420433,0.233830940092281
"35",0.998975228092965,0.973351501906234,0.952729057553333,0.998539275832745
"36",0.862780856897699,0.881789124501784,0.252666442444339,0.427899232205017
"37",0.816202738991366,0.884944098788997,0.82837183669,0.859119807044862
"38",0.922728904386837,0.792559202025602,0.608265288513674,0.882858161359377
"39",0.248077384287639,0.647480255690647,0.187711097370615,0.427770763775033
"40",0.887766590230938,0.897268365365452,0.80155622886764,0.995038838525872
"41",0.452219256960505,0.59464281325811,0.616181159063498,0.924909834799793
"42",0.969691177119917,0.546235848333683,0.794350125651289,0.953033654430721
"43",0.779564685568047,0.803338319523041,0.790721673038222,0.789910488542308
"44",0.817014909349516,0.516413932468815,0.951587926499942,0.602278195190316
"45",0.568291863764032,0.949531182149974,0.709114909431866,0.969215252618024
"46",0.452349536575182,0.759556970490008,0.379358224493444,0.816843816972321
"47",0.886966383717893,0.649724578779329,0.986886019349976,0.674626798549177
"48",0.817371171913004,0.753813069443318,0.998944888965791,0.726095771415289
"49",0.787287939596965,0.844119624671147,0.94210630143959,0.747817070107167
"50",0.962829330273439,0.684682982056763,0.694340851353759,0.609774727752578
"51",0.287187793713526,0.471328789701784,0.878878792898673,0.0631426482242955
"52",0.621929828394055,0.684816505313706,0.481232893518704,0.993245677540543
"53",0.867655062356901,0.625247622010881,0.188937099854888,0.614390285929884
"54",0.747385516364902,0.954102580714252,0.554847129780137,0.665791274636772
"55",0.87805445022401,0.957421059381407,0.330304406019101,0.925264430828152
"56",0.701394631550166,0.544120855560107,0.499886576554624,0.374099465779268
"57",0.775282089442923,0.970791125668828,0.526602530790023,0.975922424741859
"58",0.840761197554908,0.854037649993865,0.127609086422654,0.852581257469375
"59",0.149843996893934,0.699392831222451,0.46404660988229,0.903174073851288
"60",0.897202694591694,0.335800163953036,0.893160331188305,0.338443228972548
"61",0.602690593414705,0.937260322773663,0.693958517900247,0.95326925205957
"62",0.685386877376346,0.954392009933939,0.958129338826227,0.658968586224097
"63",0.801830411706562,0.629876407307139,0.935091081662832,0.701484954841133
"64",0.747162260520122,0.425574527485145,0.551321085323079,0.628361639017855
"65",1,1,1,1
"66",0.464891632305772,0.713436891494991,0.583679769255701,0.827102374807681
"67",0.855097270443247,0.525975062566,0.994008482293516,0.598122129245122
"68",0.92077956637457,0.989509585657498,0.919426438041409,0.985025585991317
"69",0.892225109613013,0.494399925128095,0.771340191656272,0.411354767379259
"70",0.50752579730609,0.266780638747896,0.459918099675953,0.346189654423404
"71",0.575829108845106,0.584220364658105,0.568289099419712,0.950194326411977
