"","alpha0tau","alpha1tau","beta1tau","rhotau"
"1",-0.00164093380634882,0.0212364658622383,0.296991975522798,-0.00640352092815891
"2",0.00713101724160617,-0.0145256158049603,0.132958575479295,0.0104473033575629
"3",-0.000430769137271374,-0.00114484714278721,0.115864281156843,0.0028269059276566
"4",0.103965427628131,0.362657646001428,0.150934648732412,-0.188075402541854
"5",0.117736883724238,0.0926704127514171,-0.0231204265465985,0.0174773085546638
"6",0.1284975928934,-0.100949891810466,0.256134364124147,0.0713271943865837
"7",0.00238282744117638,0.0477479480129405,0.0394497136959775,0.0237359487393486
"8",0.0030076952418359,-0.0017750859768484,0.0679783843837584,0.000586356051932159
"9",0.0204528352662803,0.0471215440125295,0.0412506877361072,-0.0271495841595358
"10",-0.0106712006851057,0.0161147071578179,0.151610774077443,0.0147369063019882
"11",0.0122255368325582,-0.0162640723709795,0.0147482966659791,0.0325746785234363
"12",0.00412045789823834,-0.000222892008069923,0.229660041735606,-0.00952572332045684
"13",-0.0595143819411913,-0.07983621618861,0.149670144913459,0.192853430862761
"14",0.0444228418815637,0.118853357079487,0.127126492974948,-0.000213475790453189
"15",0.034610558880107,0.130958697895624,0.201678785919386,0.0162221260438815
"16",-0.0067200886080385,-0.0303681352042379,0.0175385796549473,0.0558467123616658
"17",0.121790873115915,0.023561487008955,0.197596278032226,-0.0711475850481288
"18",-0.0547545764592367,-0.257779323773055,0.0385484156105113,0.34603212822431
"19",-0.0607234286845351,-0.164079292938998,0.155613870031045,0.371146167878728
"20",-0.00270319823647852,-0.094365317164998,0.0310892457066045,0.340332832374612
"21",-0.000553314560149872,-0.00216247843410819,0.0207757484682623,0.0031457553206606
"22",0.184310956394995,0.0524890934085712,-0.00327899572706914,0.086636941935025
"23",0.027534858921284,0.0241851474084384,-0.0161131127263018,0.0133020236575829
"24",0.138597519150254,-0.0139110272893084,0.0554389394989163,0.0165221214131236
"25",-0.0278089704414833,-0.00930939954684966,0.110086321076543,0.0219154381056912
"26",0.0142133479328235,0.0784315322305533,0.0256647873311605,-0.016550256081057
"27",-0.0083506162257765,-0.0122098359437749,0.0321658859472945,0.0180869343719335
"28",0.0627658443349611,0.0555467099330251,0.11940876240814,0.0151095311960919
"29",0.0409452834603315,0.0266547011499279,0.158399995242276,0.0556699358624304
"30",-0.0389197014263932,0.156922154141852,0.28724023184037,0.0102425809865051
"31",0.0466852864450265,0.0654028210687295,-0.0039766710672302,-0.0214171567679611
"32",-0.0480235419718979,0.00632916137405576,0.227653198577714,-0.0144176925037844
"33",0.0645063140932479,-0.00583152779263517,-0.00230215306259463,0.00649183510818497
"34",-0.0220373894691414,0.124328062292125,0.04512738857403,0.0595734136230627
"35",0.000344737884436839,0.374197555757439,0.0111576316102279,0.000998132050568915
"36",-0.0308227387485308,0.0361146416361083,0.0860956577334076,0.142419795197249
"37",-0.0315592719222372,0.0119491612859701,0.301655904911445,-0.0180177157945573
"38",-0.0456913122884227,-0.0151316406207978,0.203046393892386,0.074880369212994
"39",-0.0237723764650497,0.115302383767923,0.102835268463206,0.0849753887102586
"40",-0.00544319509823933,0.0579587239385632,0.124483965931382,0.0269966987823901
"41",-0.00517008395060069,0.107806078484236,0.129730113608591,0.00779089477770446
"42",0.0734870754983755,0.0973398191496916,0.110870903165503,-0.0330391196136826
"43",0.0454889985068659,-0.0203309038536985,0.274609330640467,0.130629476314301
"44",-0.0187306692778664,-0.0193930017373947,0.179769151282118,0.092244129829954
"45",1.98037637260641,-0.291030666939845,-0.072233435123286,0.699780454571924
"46",0.0469323975055271,0.0243733560335601,0.241461282533907,-0.0242605046295393
"47",0.0565961345604425,-0.0228718348091537,0.228240446516717,0.0301855414253947
"48",0.622436087627357,0.0657069571668152,0.102282466521945,-0.195463143475995
"49",0.126061389749015,0.0347368027730006,0.410141569428897,-0.0735346402310606
"50",-0.158192338405678,-0.00847624829646435,0.594615179257287,-0.0665637965363874
"51",0.116430881582323,0.00720592318408038,0.352328789297524,-0.0804974497342922
"52",0.0753187469438549,0.142737836381758,0.133037711103542,-0.0445171612725508
"53",-0.00409334276274234,-0.0130631750135142,0.0146457128107524,0.0221601705392548
"54",0.00529784901829334,0.00290982639539795,0.0288198587382238,0.00450518689823797
"55",-7.61414225437013e-05,-0.000789253421325155,0.0308215174698414,0.00095063805085158
"56",-0.00371717430713742,0.010791109668062,0.0564923758601951,0.0143084894260331
"57",-0.00252985527462128,0.0102264327774486,0.026867367958117,-0.00750391524029125
"58",-0.000316616949637091,-0.00478708903993036,0.152883991570754,0.0065232953450957
"59",0.0140657801949881,0.0195656099606012,0.00750300695104718,-0.00804380568862192
"60",0.585391815338811,0.0323886175104514,0.00534074101482688,-0.0351817322328709
"61",0.446104934227683,-0.133646467568863,0.119011589591587,0.315347639351328
"62",0.107116388611504,-0.00167302546410279,0.227997655508607,0.172920386356351
"63",0.530264264951077,-0.0972392218299808,0.126148317183092,0.30297287789431
"64",-0.191986120478073,0.154483399427028,0.361868461468957,-0.116163011025319
"65",-0.400907756439887,-6.37197960604673,0.0579368019318987,7.30246401731189
"66",0.543518517557808,-0.122862950547826,0.142965117434332,0.358534854658361
"67",0.532229783051711,-0.00288020105404637,0.194809274813404,0.078410692039242
"68",-0.0256714558159247,-0.0266094758218769,0.274414908208728,0.0512546933787704
"69",0.169469767012393,0.125012592371923,0.21324982851793,-0.116348879099756
"70",-0.292424216457193,0.0471780688876396,0.631814798049627,-0.0568334981730169
"71",0.299475555867101,0.15376238422088,0.343027760038298,-0.130987026385829
