"","alpha0tau","alpha1tau","beta1tau","rhotau"
"1",0.785775352918122,0.0906783937807692,7.36098055107037e-11,0.461424970905037
"2",0.223324567836936,0.233772178397988,0.00229246644501971,0.178919490208678
"3",0.748746915411856,0.117484544224145,0.00233856480294891,0.504452598556243
"4",0.268335330066547,0.511143911040898,0.0583337738150608,0.911652728881707
"5",0.883312704697688,0.437335378838938,0.00376113807969196,0.382052406883123
"6",0.898521142277583,0.243941095856254,0.101447697544341,0.308188558443442
"7",0.89861638149347,0.1036532247787,0.126724920423961,0.327259692828727
"8",0.964099993747866,0.179916123954905,0.196147738738696,0.624098602967825
"9",0.995996105756643,0.0817480852190236,0.0293900679829771,0.261068904475434
"10",0.348764649573672,0.395679379326617,0.827297505064751,0.167359308378512
"11",0.657484310788229,0.778935706600932,0.0845422683962508,0.976724648351938
"12",0.157660422890233,0.798581293634817,0.81478401552814,0.72612322403318
"13",0.852657771122537,0.313465861095909,0.0803834939828721,0.791677499146134
"14",0.951691464161459,0.0103164068101712,0.0735079266227106,0.868418831255397
"15",0.779733640357903,0.242706218826397,0.119775631187613,0.185276326874452
"16",0.474593207848973,0.476855436891358,0.328834856802692,0.483353684764259
"17",0.741228715396277,0.180812407752339,0.0120758785980263,0.577680536520003
"18",0.490814625465389,0.137016333023296,0.0745545472768428,0.951713360310559
"19",0.0242159699025853,0.00383459105604482,0.021987797563512,0.00890446979303341
"20",0.609048696616478,0.126895361781608,9.52213147499583e-06,0.110939561000803
"21",0.602320267273541,0.998679504618129,0.619417814874269,0.976736496457271
"22",0.829176913352563,0.877661953869779,0.148620314455233,0.334771601202607
"23",0.0795610060163195,0.258273416451621,0.000505893306104826,0.177675139745893
"24",0.637792677916697,0.353952514511504,0.410951731189656,0.0764341981449143
"25",0.372061026210065,0.617026201210862,0.0184795531005956,0.31321686163535
"26",0.452990724591963,0.298337819449714,0.0978327528555781,0.142126613027264
"27",0.957386682659949,0.916458840749241,0.193277905503163,0.573419809038816
"28",0.103343436597333,0.132660779982121,0.000240139741003038,0.021374240810458
"29",0.753367153974081,0.687936075146321,0.00846154916881457,0.809545427458032
"30",0.546313101861938,0.713928199049877,0.125452825707802,0.137649645729978
"31",0.700805015796475,0.493335242889101,0.0371707008395467,0.112753652662423
"32",0.373690723622219,0.24880068919854,0.607331243913065,0.497281115358763
"33",0.703374712693623,0.404580480053432,0.00169400479615646,0.143290568111721
"34",0.568687456069366,0.967812443640605,0.0373295072184376,0.984429369425877
"35",0.276533904218184,0.102973975641686,0.0807126718816006,0.587416184431441
"36",0.289672381260058,0.283866903624981,0.00223142641626125,0.339925224586072
"37",0.152861679669854,0.0947138541370964,0.943290794911705,0.394212010059824
"38",0.97832300956707,0.322266806686815,0.20662614607972,0.242163800632442
"39",0.82482363865431,0.144359075366019,0.550744247742864,0.372214359863583
"40",0.619567445864107,0.691249153429713,0.138548014893858,0.34187959056322
"41",0.633571413089495,0.0492231417472824,0.00170832559085306,0.818158651158959
"42",0.149610933725104,0.0301648794680845,0.0758931046014828,0.639955101760259
"43",0.433498890702486,0.135869527354414,0.0550514851152689,0.106160079128797
"44",0.489186775544205,0.0956488121524478,0.232541719342642,0.0262362478811716
"45",0.583779457272656,0.0534694602524388,0.18299826654319,0.0427941092174996
"46",0.593478889969635,0.396565310750027,0.0785303667073987,0.230165854798687
"47",0.298840885952331,0.147487801188509,0.0361028456644024,0.384214674367563
"48",0.935374622592064,0.187048970638593,0.0618677333301107,0.0929208992957218
"49",0.724298377325529,0.347663495910084,0.000676310784739305,0.495298057925191
"50",0.829091021810162,0.983891515913905,0.0651484453095206,0.298321506073809
"51",0.154456627971969,0.155450440907499,0.000910133488882585,0.968749658368012
"52",0.906603929784523,0.719790784394359,0.13438873741018,0.319645620941259
"53",0.335286257680104,0.702933327260913,0.121319510022276,0.768496248060334
"54",0.140216631583332,0.560703307744495,0.00261515269970776,0.981769851426281
"55",0.0978849389814327,0.384802916169021,0.82705340413233,0.306008535776562
"56",0.0430699763612128,0.028130094547741,0.00351290207168347,0.587911315510823
"57",0.933244218113027,0.145467377375726,0.0396677473944138,0.766247042673278
"58",0.525505931524581,0.197291573077213,0.49711230202524,0.136691693944123
"59",0.613200239584212,0.77918311606733,0.689927426363254,0.130234609458068
"60",0.263063828781018,0.72686149166773,0.50296231183016,0.763845825671531
"61",0.535266564218219,0.933233804496567,0.0177480249967069,0.18055094360107
"62",0.912600800245287,0.586279251291044,0.0025244260395053,0.317648658288701
"63",0.51913560569811,0.0387076893486655,0.0160061945792864,0.0062244993101604
"64",0.273995727894671,0.384771096748364,3.86864887739119e-05,0.453451530273738
"65",0.0076015210957459,0.0920324413522136,0.580306860820383,0.111480420860362
"66",0.216329271737236,0.0408186480396696,0.0956172264576241,0.00655157759044626
"67",0.400250726705176,0.768723781936679,0.00104349177183977,0.974803345657067
"68",0.264199577765362,0.566970993177325,0.580168899141002,0.0706222017104859
"69",0.832738986464198,0.1541023198149,0.951635837654571,0.167531585149021
"70",0.334675456661505,0.741719462912782,0.829330050751684,0.111398381731799
"71",0.734212749285394,0.309166509002677,0.0286758521374585,0.411245465651059
