"","alpha0tau","alpha1tau","beta1tau","rhotau"
"1",0.966867787386149,0.0207837990078095,2.17149534029672e-05,0.579026875356867
"2",0.272477474102376,0.0146979545929613,0.0412548375478536,0.272233756574909
"3",0.651774246357689,0.118076856144102,0.183810942450646,0.906229417506915
"4",0.639155978720078,0.502640023912436,0.201766362125612,0.852640201987262
"5",0.844363501702573,0.838158526823075,0.210799079583695,0.0518856496318607
"6",0.532487728092711,0.0791690951198464,0.358663693234454,0.37352165917709
"7",0.849130336445749,0.111998995545522,0.494786282466107,0.380475268474747
"8",0.178738237387608,0.996728445965405,0.0815891165490486,0.215583882699017
"9",0.121865579094476,0.318913959497884,0.542492708161254,0.552712413836113
"10",0.483993758874373,0.798959743265621,0.75305962484731,0.0292566879301531
"11",0.970597919051566,0.865638757697016,0.117065051381824,0.877287583753634
"12",0.572452866596172,0.246204377833764,0.871071104649058,0.123390511719114
"13",0.28301774584346,0.984767106357922,0.606660950496799,0.387852700952571
"14",0.816077743874181,0.157185618308106,0.30633360009239,0.142077016751138
"15",0.206447638703822,0.151576516706639,0.0810492003723734,0.0261284718208537
"16",0.375105076151907,0.862037657757903,0.171525601855371,0.680459781863185
"17",0.872300339133362,0.106999900335525,0.101884037543281,0.0549596045633325
"18",0.727181038745056,0.025684646744503,0.0415457382359664,0.877119836350876
"19",0.0352572309518769,0.000231636843667211,0.0410310956822453,0.000619747691660126
"20",0.512410664718363,0.857338604613531,0.000545328460291817,0.908891281897879
"21",0.957104253321729,0.846835470482401,0.606458641126206,0.825051160307947
"22",0.973360170424699,0.414566389029362,0.582272498746113,0.175321369847976
"23",0.0120860058012598,0.336640329441589,0.00183636381625046,0.0636437116834153
"24",0.671423727252874,0.0824518147021492,0.506571574312324,0.0365547247320988
"25",0.0818108284322766,0.0316307297613191,0.0481747067391508,0.0963441015657955
"26",0.24882860291523,0.790248869751406,0.15396663813588,0.537488135515624
"27",0.0449635781123662,0.892049873446963,0.670973574279607,0.406762823280981
"28",0.0967970608879273,0.339183771586256,0.0477415388096823,0.0200510403544945
"29",0.588100637582054,0.0794491271997952,0.00777361039098096,0.807162227555975
"30",0.540889425870921,0.898987066360151,0.0465166800732613,0.856738227838097
"31",0.329441890377708,0.512583679355288,0.0573314790051083,0.374920215966021
"32",0.148014662936671,0.511724297759675,0.552185517249307,0.0126272593323129
"33",0.0945425684665444,0.506777316374972,0.00103772306695178,0.874180238262153
"34",0.33208960824343,0.284580318715297,0.0727620963026384,0.437428607182515
"35",0.339132756411845,0.187333356432967,0.0346164592652416,0.703865927999696
"36",0.681438681513038,0.380953938868349,0.057099982949108,0.870534696278997
"37",0.117504916327689,0.00951826103893637,0.558565681516592,0.40997963234031
"38",0.462210328191405,0.364096296260238,0.22493261161476,0.218940326949031
"39",0.0873054941428204,0.756379818191476,0.976337669752707,0.012776838314048
"40",0.350421963126088,0.385702274835234,0.0866510387918426,0.403527268012428
"41",0.411203147578637,0.213262385020956,0.0353409605968889,0.579079544287717
"42",0.133513457903257,0.0470123645772395,0.441689548691149,0.501823466908836
"43",0.679815704032853,0.157444650668027,0.202488916902291,0.0462726196624281
"44",0.295836576269058,0.0569594439789353,0.199478611360582,0.0969654724649216
"45",0.482404831531464,0.0722146003054592,0.0183422605578055,0.0782733320483032
"46",0.198666896105588,0.939740288150603,0.234847605911727,0.010476140003652
"47",0.57424752560943,0.473541350559543,0.0416537590889591,0.993749942014482
"48",0.953942456968049,0.462454389089884,0.0656779445319803,0.876169513587725
"49",0.688479407618853,0.133607012864026,0.0405539237884525,0.941890374936886
"50",0.702121047891419,0.83892309732329,0.471640096947256,0.151641639413156
"51",0.0822589131263157,0.205677895310398,0.00704527620189251,0.60802382863574
"52",0.703441169370925,0.900966153732147,0.805384326866015,0.00339725428546076
"53",0.200963248603657,0.660415124085373,0.101847548754723,0.382931344783476
"54",0.119971065013408,0.112816543260145,0.0191377147125161,0.987742294257002
"55",0.0831732376697738,0.458876248552364,0.775575702344828,0.471324679405427
"56",0.728745750053233,0.155457766076936,0.0941007124418129,0.707335259099344
"57",0.444589642259103,0.0205715050291939,0.134374190527409,0.980744645628049
"58",0.309377917597173,0.633057072005895,0.259190523883158,0.436552155170247
"59",0.838202256617722,0.480263911485544,0.719479541821543,0.266050992291061
"60",1.43028234672111e-06,0.646870239454957,3.76888630456992e-05,0.592911372121204
"61",0.603709133291155,0.470402303179506,0.106905005639287,0.187805961075881
"62",0.647343143748448,0.923527248599262,0.00277089880398507,0.717479633389903
"63",0.957844708538856,0.06151236079102,0.225240521849884,0.0365945418540955
"64",0.843182549101473,0.611814664411765,0.0320996780984958,0.889632203767644
"65",0.0145765982957082,0.4592421850022,0.750901279250663,0.459552229295597
"66",0.882033922247854,0.09211539748515,0.223909466891727,0.0255779267813929
"67",0.144085400908867,0.148309308127493,0.108964062545333,0.0915680424653931
"68",0.0194072544219162,0.729363687740435,0.00956006338032486,0.834280869447836
"69",0.00817460949788929,0.663524537146797,0.0117696640618422,0.810180504158673
"70",0.930992577024613,0.530349678534765,0.548558719318093,0.16867465965613
"71",0.511664838948868,0.745129185005879,0.391356719573304,0.623669339784863
