"","alpha0tau","alpha1tau","beta1tau","rhotau"
"1",0.363457192999929,0.916235511374593,0.00607109117812074,0.545307159882645
"2",0.515765069898046,0.925741565446353,0.109524129685059,0.461629141967501
"3",0.89160110587368,0.936346561824348,0.24297247007716,0.865464554535257
"4",0.481239509949252,0.0834824618701571,0.0118810840996805,0.59282355413478
"5",0.244416855409406,0.718455218144646,0.916244351955492,0.28605502470783
"6",0.848472138378935,0.429283245090583,0.0556375616758206,0.730853401804443
"7",0.0475628056165393,0.152325358921664,0.334093721717803,0.529882176068005
"8",0.0323183521257738,0.718970551641438,0.784010608800926,0.985676004498791
"9",0.611071431491059,0.222256964972171,0.0581740448347274,0.800926652017692
"10",0.611370556719182,0.698755163875919,2.87078241206826e-08,0.639748265933082
"11",0.912318396161733,0.888795919165087,0.0615548342293444,0.745904764151614
"12",0.844939355058727,0.900134650801209,0.0368605201230426,0.759610238625248
"13",0.576369586738986,0.705077366428464,0.0997745140689186,0.0630497625262194
"14",0.93641227182822,0.118489525495556,1.93371476363269e-05,0.828552979833724
"15",0.560403071330299,0.325605512168132,0.29799920377,0.41919073162346
"16",0.103729497392183,0.826827923220494,0.0500051257935458,0.594704883629126
"17",0.87432378333852,0.378953620712522,0.0100375027082975,0.31247296801202
"18",0.815125877552694,0.019264121339251,0.730534374204276,0.0156236735288696
"19",0.514807137914145,0.0323797929101042,0.0114550558852381,0.00279106912404942
"20",0.404106488969527,0.496641272901204,0.120469846333579,0.0206869219993486
"21",0.695887587296492,0.720005577677877,0.484546303378347,0.719960428017886
"22",0.0880367140876197,0.596430346122054,0.954957614422678,0.164080271052868
"23",0.479614210134774,0.731095027121293,0.631803774642291,0.546757382738763
"24",0.895702497048876,0.0882783902007801,0.163881258141382,0.119588385973829
"25",0.0117757720172834,0.373481581928255,4.71630703477141e-05,0.303878455655081
"26",0.654183125442902,0.00167925964475349,0.0254463273359793,0.220836978177194
"27",0.851921115518545,0.72857303063895,0.293626893915043,0.74582838730891
"28",0.0184754008711069,0.513385132547223,0.598512549661196,0.742640515406979
"29",0.511634427099819,0.607615559382164,0.148149302828462,0.686380741805241
"30",0.427183450862616,0.168155681135445,0.0127643739280367,0.975463089173503
"31",0.481366906745308,0.758578748257987,0.482459074443502,0.676970293347029
"32",0.208267586025652,0.0628526629966508,0.554509023523314,0.426492712041408
"33",0.543754149015278,0.163151720458659,0.133294907884019,0.769891842471129
"34",0.0393427373730682,0.371176188975478,0.0186384654988037,0.000854271297186819
"35",0.904666806609233,0.180895013979497,0.753089345511193,0.078340563742515
"36",0.981057816683801,0.122252291159611,0.0416213085313785,0.278713705274599
"37",0.724553430314026,0.484437301720742,0.040675864827812,0.597959038918026
"38",0.858975247229554,0.399860137721776,0.0162695659289138,0.670619430554124
"39",0.125025498628675,0.276599648442658,0.000658546947944775,0.832231006553633
"40",0.499628156276317,0.107954452711233,0.032866427821152,0.112478827870503
"41",0.914099110231175,0.443855376341563,0.169631213524165,0.25865567438125
"42",0.398717557443036,0.0513411765420221,0.284423739666116,0.185818254754159
"43",0.810886963986181,0.863554005002451,0.117191930764115,0.570381371055947
"44",0.989482455557282,0.768132967848776,0.135501605171547,0.440528066313353
"45",0.107542374254349,0.101673829854377,0.603702531373121,0.0505540526821126
"46",0.831766605621164,0.217994601291164,0.0366034735269073,0.58493854212598
"47",0.327567511396328,0.761966802835797,0.222967502404897,0.808224824287971
"48",0.049651656410199,0.830664930785393,0.613616611428767,0.564709947607248
"49",0.929543104460122,0.0716101664791722,1.81498494781198e-05,0.1561921646064
"50",0.990438702328197,0.884953748587611,0.00675135949699058,0.47058946510594
"51",0.983853400951984,0.322108525277167,0.00143766755143583,0.381767716491874
"52",0.0610700733380335,0.021891439578224,0.142799444229022,0.00151215861256873
"53",0.774563973854871,0.980698609261208,0.0590088748811528,0.804509209686414
"54",0.767961146070337,0.0291448308899857,0.0490903668922811,0.942223638660805
"55",0.814511179595323,0.181608987401971,0.0373864927861366,0.807099323485029
"56",0.153964074614815,0.645605354684287,0.0503749218947708,0.174687962835109
"57",0.0743775101796166,0.851195930291033,0.00529494307403441,0.701579769573008
"58",0.737683835478459,0.125859821888335,0.000517548060787834,0.105941910098713
"59",0.788861239076517,0.180919628555761,0.381598089035226,0.168381239414505
"60",0.174520654070769,0.022255839958475,0.861841993416406,0.683083872311638
"61",0.122699769882989,0.0339710052712282,0.0896894604184532,0.00165155694106323
"62",0.685349866674691,0.16767837311398,6.70018476233024e-05,0.224346612730744
"63",0.863567863498474,0.701775707111907,0.072882266074902,0.252176225229646
"64",0.482584112508494,0.334217183203367,0.00142474033676778,0.700744671660397
"65",0.196800626770553,0.118130490875933,0.118801274690794,0.0940567519449706
"66",0.142062911513128,0.0381847139102399,0.0982806063334728,0.00161784920520428
"67",0.581694950476582,0.76907529213753,0.0103335990640404,0.192205226218128
"68",0.343898007755562,0.36902430575869,0.0767892477690922,0.825080515082349
"69",0.672569915526079,0.105257716292177,0.00847855907063661,0.102092900367876
"70",0.316082876691321,0.85764441940078,0.00391248442035338,0.576853904750917
"71",0.854794489093557,0.595288027964886,0.0575910501929461,0.190111370986021
