"","alpha0tau","alpha1tau","beta1tau","rhotau"
"1",0.851563808072826,0.310005308249669,0.00630145309955225,0.617649561374014
"2",0.413373714541504,0.743334089443267,0.248478045685634,0.385112620823882
"3",0.942223638672289,0.810098988446423,0.0314555504847387,0.756359383585438
"4",0.121790801265021,0.00854957592151112,0.0915162598459813,0.198008873026535
"5",0.213981415079184,0.302607009881662,0.915428888209391,0.798703909848743
"6",0.596198665836823,0.438348259659255,0.62505345514134,0.663390999218655
"7",0.822990675352262,0.559760674012333,0.469871539174943,0.295559042838257
"8",0.701830714480666,0.884603687181449,0.15443099307846,0.959614982155765
"9",0.478762191379901,0.167399445428933,0.399981507566651,0.164587887946137
"10",0.485335958078861,0.614314823845283,0.000751091329444562,0.646577556864501
"11",0.369978506967766,0.359478090254054,0.564492441257206,0.252444561787129
"12",0.886748386964891,0.996502955649864,0.0475259714749414,0.748022824520628
"13",0.479269107734541,0.475440264582073,0.141707867514533,0.389876443893316
"14",0.485134266237814,0.134292000099486,0.0891220666102267,0.997004997823302
"15",0.646715070360374,0.0802269751620158,0.0466992500436106,0.840464727197765
"16",0.724698466442755,0.468940972764049,0.316973006103576,0.312402086478587
"17",0.345580990814602,0.703298274581737,0.033740113835191,0.563542384174676
"18",0.612177879980977,0.556594873128673,0.136881068504003,0.553979510194045
"19",0.504833237775157,0.124639370924323,0.235160674746748,0.0551789905509388
"20",0.985771891756971,0.173934656133257,0.794539793241756,0.00456715735297966
"21",0.996991303892659,0.997003656854149,0.508159647256484,0.996991604119561
"22",0.187643982475194,0.691940975134581,0.980338547620644,0.600354753880193
"23",0.308351272682843,0.536092594738144,0.580019668689766,0.727509115100848
"24",0.658213279281795,0.875101462421774,0.641074344904404,0.94167789598729
"25",0.238619821149405,0.790856569131963,0.035240484988293,0.710951579176494
"26",0.262616149408254,0.233839615861501,0.343118028791624,0.597282026735799
"27",0.595231981157347,0.177198492294356,0.153286629394886,0.196008192832145
"28",0.426728734430232,0.33014404291417,0.267531094280355,0.794305345514652
"29",0.764193683621443,0.675852985212287,0.0696932541102534,0.622056062080889
"30",0.156924748314914,0.0091628741694261,0.0440332031244682,0.718342056243563
"31",0.0227947726161106,0.173657745230542,0.702988673454574,0.649331740984688
"32",0.605902601947599,0.863967935362418,0.101784448894983,0.512518971228963
"33",0.0408100925561864,0.948617153441765,0.928615723211076,0.934205940344177
"34",0.370295874934618,0.0522489594765807,0.358878470042137,0.269033922653086
"35",0.998751079128342,0.536299424230644,0.99000234217123,0.99891593432435
"36",0.335252386254053,0.632349471293109,0.354130680062153,0.0178982888060823
"37",0.634619791043715,0.777746429776336,0.115070642540666,0.65782867847758
"38",0.787638025584938,0.838825168955399,0.0569372689079862,0.570954813014688
"39",0.214659949632716,0.28008061196715,0.0460092734049836,0.543708144202227
"40",0.232489040243388,0.489197526482415,0.0203695131042502,0.438362987437172
"41",0.520894268907811,0.0550624154557337,0.275767437720364,0.767662359657931
"42",0.161609318812062,0.0580374824158902,0.465527860649219,0.256548800497012
"43",0.859235411620944,0.767093936165278,0.217786022643216,0.368042298338536
"44",0.84009837670088,0.728434796901347,0.132246883670149,0.384106077121338
"45",0.0176567913962503,0.552006400553417,0.669183750890241,0.443146753079016
"46",0.394465671136604,0.621728896836243,0.0891581694590193,0.60388484237755
"47",0.71597740630366,0.636557979698938,0.243727519352494,0.72017212761658
"48",0.118061110559179,0.0945391380074961,0.567842299942328,0.0165728315376116
"49",0.242768767706112,0.663652224065184,0.00211538588426957,0.379108294420078
"50",0.567145371571461,0.813686482901896,0.00288232120268556,0.299955905601527
"51",0.387257119742304,0.895248262368894,0.0358583135594745,0.0508554579816819
"52",0.142084024846288,0.101814677722689,0.356137747583333,0.0958064652069836
"53",0.409434330695329,0.72074827734902,0.0500051993354811,0.341282079404051
"54",0.392844327819081,0.91260281902043,0.402337748589665,0.67055588323126
"55",0.993256116803404,0.974382098158194,0.00683137074711001,0.977966348389967
"56",0.741361793997413,0.740521018010855,0.115516077130681,0.647308600539877
"57",0.677522087694771,0.104696548106513,0.032295226701726,0.313940501006647
"58",0.909278233074914,0.62704612147901,0.0122988601614699,0.591067378855079
"59",0.0292162057897163,0.152648529511863,0.660551407260503,0.230182984354933
"60",0.00663256343348179,0.731982145132472,0.935437320297293,0.266330071495551
"61",0.102881583495674,0.270953694964448,0.28156528429311,0.0525107616962847
"62",0.765167426779098,0.985650015090836,0.0460838940434427,0.126677950310826
"63",0.38717676326087,0.546739849355426,0.507508449841235,0.249635709738121
"64",0.770247594615582,0.103688617202059,0.0463942687017517,0.453927140758302
"65",0.628339549759039,0.0181741289015376,0.363202757156326,0.0170524980712988
"66",0.108491243070817,0.162753886225402,0.179596151811234,0.0368504673156844
"67",0.199971172582202,0.980060824118777,0.229609389577486,0.536524677734982
"68",0.666437315017076,0.644631329011175,0.0591498794396713,0.222876560863648
"69",0.285122956311271,0.217284922381478,0.110380462497742,0.381484744427847
"70",0.377343041510113,0.444566522533481,0.0221089186755853,0.558391601052982
"71",0.704601425898407,0.356682590629657,0.299600921057862,0.625415536827739
